<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
IMOEX;0;20180518;100358;2324.900000000;1909692
IMOEX;0;20180518;100359;2325.150000000;10284522
IMOEX;0;20180518;100400;2325.210000000;2648020
IMOEX;0;20180518;100401;2325.210000000;3492879
IMOEX;0;20180518;100402;2325.220000000;2706665
IMOEX;0;20180518;100403;2324.970000000;1595253
IMOEX;0;20180518;100404;2324.930000000;2418436
IMOEX;0;20180518;100405;2325.080000000;1557733
IMOEX;0;20180518;100406;2325.260000000;280569
IMOEX;0;20180518;100407;2325.080000000;2594699
IMOEX;0;20180518;100408;2324.960000000;1485409
IMOEX;0;20180518;100409;2325.000000000;361325
IMOEX;0;20180518;100410;2325.100000000;502573
IMOEX;0;20180518;100411;2325.060000000;2197550
IMOEX;0;20180518;100412;2325.020000000;237799
IMOEX;0;20180518;100413;2325.310000000;771628
IMOEX;0;20180518;100414;2325.290000000;2411221
IMOEX;0;20180518;100415;2325.270000000;775648
IMOEX;0;20180518;100416;2325.370000000;1578155
IMOEX;0;20180518;100417;2325.410000000;2326581
IMOEX;0;20180518;100418;2325.420000000;377538
IMOEX;0;20180518;100419;2325.370000000;469256
IMOEX;0;20180518;100420;2324.590000000;3894060
IMOEX;0;20180518;100421;2324.720000000;807340
IMOEX;0;20180518;100422;2324.730000000;1376299
IMOEX;0;20180518;100423;2324.810000000;1192249
IMOEX;0;20180518;100424;2324.810000000;5118108
IMOEX;0;20180518;100425;2324.770000000;1211654
IMOEX;0;20180518;100426;2324.840000000;1181603
IMOEX;0;20180518;100427;2324.770000000;4508094
IMOEX;0;20180518;100428;2324.440000000;6105077
IMOEX;0;20180518;100429;2324.490000000;1037249
IMOEX;0;20180518;100430;2324.440000000;2842471
IMOEX;0;20180518;100431;2324.450000000;1310257
IMOEX;0;20180518;100432;2324.650000000;2477710
IMOEX;0;20180518;100433;2324.570000000;703796
IMOEX;0;20180518;100434;2324.730000000;1150059
IMOEX;0;20180518;100435;2324.710000000;224670
IMOEX;0;20180518;100436;2324.940000000;11781044
IMOEX;0;20180518;100437;2324.830000000;2282499
IMOEX;0;20180518;100438;2324.880000000;1693409
IMOEX;0;20180518;100439;2324.870000000;85220
IMOEX;0;20180518;100440;2324.900000000;388596
IMOEX;0;20180518;100441;2324.890000000;700150
IMOEX;0;20180518;100442;2324.150000000;2096932
IMOEX;0;20180518;100443;2324.210000000;4570933
IMOEX;0;20180518;100444;2324.250000000;671315
IMOEX;0;20180518;100445;2324.400000000;1266327
IMOEX;0;20180518;100446;2324.520000000;864941
IMOEX;0;20180518;100447;2324.700000000;173217
IMOEX;0;20180518;100448;2324.720000000;536388
IMOEX;0;20180518;100449;2324.620000000;1250450
IMOEX;0;20180518;100450;2324.620000000;710947
IMOEX;0;20180518;100451;2324.650000000;453943
IMOEX;0;20180518;100452;2324.660000000;270749
IMOEX;0;20180518;100453;2324.720000000;1134071
IMOEX;0;20180518;100454;2324.760000000;1704125
IMOEX;0;20180518;100455;2324.760000000;1303773
IMOEX;0;20180518;100456;2324.790000000;570898
IMOEX;0;20180518;100457;2325.000000000;5136817
IMOEX;0;20180518;100458;2324.320000000;3803113
IMOEX;0;20180518;100459;2324.410000000;2088907
IMOEX;0;20180518;100500;2324.460000000;110375
IMOEX;0;20180518;100501;2324.720000000;1431385
IMOEX;0;20180518;100502;2324.210000000;4825640
IMOEX;0;20180518;100503;2323.880000000;4708442
IMOEX;0;20180518;100504;2323.840000000;1162388
IMOEX;0;20180518;100505;2324.170000000;1783707
IMOEX;0;20180518;100506;2324.200000000;293619
IMOEX;0;20180518;100507;2324.170000000;254741
IMOEX;0;20180518;100508;2324.110000000;2674540
IMOEX;0;20180518;100509;2324.180000000;17236906
IMOEX;0;20180518;100510;2324.140000000;5508131
IMOEX;0;20180518;100511;2324.390000000;2612650
IMOEX;0;20180518;100512;2324.500000000;1601304
IMOEX;0;20180518;100513;2324.460000000;3089884
IMOEX;0;20180518;100514;2324.290000000;4626038
IMOEX;0;20180518;100515;2324.390000000;704332
IMOEX;0;20180518;100516;2324.380000000;76138
IMOEX;0;20180518;100517;2324.460000000;580212
IMOEX;0;20180518;100518;2324.360000000;1506559
IMOEX;0;20180518;100519;2324.390000000;197362
IMOEX;0;20180518;100520;2324.520000000;404200
IMOEX;0;20180518;100521;2325.060000000;3930306
IMOEX;0;20180518;100522;2325.080000000;1596968
IMOEX;0;20180518;100523;2325.200000000;1065150
IMOEX;0;20180518;100524;2325.220000000;162248
IMOEX;0;20180518;100525;2325.190000000;1369772
IMOEX;0;20180518;100526;2325.560000000;928580
IMOEX;0;20180518;100527;2325.540000000;751062
IMOEX;0;20180518;100528;2325.440000000;1022335
IMOEX;0;20180518;100529;2324.770000000;2369049
IMOEX;0;20180518;100530;2324.760000000;5009283
IMOEX;0;20180518;100531;2324.920000000;635684
IMOEX;0;20180518;100532;2324.950000000;524629
IMOEX;0;20180518;100533;2324.240000000;3903432
IMOEX;0;20180518;100534;2324.390000000;442541
IMOEX;0;20180518;100535;2324.740000000;1020472
IMOEX;0;20180518;100536;2324.850000000;4231132
IMOEX;0;20180518;100537;2324.850000000;2619822
IMOEX;0;20180518;100538;2324.900000000;291469
IMOEX;0;20180518;100539;2325.220000000;7039826
IMOEX;0;20180518;100540;2325.310000000;2081996
IMOEX;0;20180518;100541;2325.540000000;2474231
IMOEX;0;20180518;100542;2325.180000000;5435263
IMOEX;0;20180518;100543;2325.380000000;931540
IMOEX;0;20180518;100544;2325.290000000;2944477
IMOEX;0;20180518;100545;2325.570000000;1455124
IMOEX;0;20180518;100546;2325.530000000;7429995
IMOEX;0;20180518;100547;2325.460000000;1177998
IMOEX;0;20180518;100548;2325.560000000;4177358
IMOEX;0;20180518;100549;2325.590000000;3232910
IMOEX;0;20180518;100550;2324.850000000;3892704
IMOEX;0;20180518;100551;2324.560000000;4529189
IMOEX;0;20180518;100552;2324.650000000;2402338
IMOEX;0;20180518;100553;2324.760000000;9233751
IMOEX;0;20180518;100554;2324.790000000;999653
IMOEX;0;20180518;100555;2324.350000000;11611206
IMOEX;0;20180518;100556;2324.410000000;1175554
IMOEX;0;20180518;100557;2324.370000000;648703
IMOEX;0;20180518;100558;2324.380000000;4314367
IMOEX;0;20180518;100559;2324.470000000;1251351
IMOEX;0;20180518;100600;2324.460000000;661178
IMOEX;0;20180518;100601;2324.230000000;5584323
IMOEX;0;20180518;100602;2324.460000000;373174
IMOEX;0;20180518;100603;2324.640000000;7272102
IMOEX;0;20180518;100604;2325.010000000;6466812
IMOEX;0;20180518;100605;2325.040000000;2051705
IMOEX;0;20180518;100606;2325.160000000;921093
IMOEX;0;20180518;100607;2325.420000000;1059427
